universityid,city,state,level,institution_type,specific_college_type,website
137351,Tampa,Florida,4-year,Public,Research Universities--very high research activity,www.usf.edu
137476,Miami Gardens,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.stu.edu
137546,DeLand,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.stetson.edu
137564,Lakeland,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.seu.edu
137759,Tallahassee,Florida,2-year,Public,Associates--Public Rural-serving Large,https:www.tcc.fl.edu
137801,Tampa,Florida,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.everest.educampustampa
137810,Largo,Florida,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.everest.educampuslargo
137847,Tampa,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.ut.edu
137953,Jacksonville,Florida,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.tbc.edu
137962,Trinity,Florida,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,trinitycollege.edu
138187,Orlando,Florida,4-year,Public,Associates--Public Urban-serving Multicampus,valenciacollege.edu
138275,Lake Wales,Florida,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.warner.edu
138293,Babson Park,Florida,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.webber.edu
138309,Ocala,Florida,4-year,Private for-profit,Baccalaureate/Associates Colleges,rasmussen.edu
138354,Pensacola,Florida,4-year,Public,Doctoral/Research Universities,uwf.edu
138558,Tifton,Georgia,4-year,Public,Associates--Public 4-year Primarily Associates,www.abac.edu
138600,Decatur,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.agnesscott.edu
138655,Chamblee,Georgia,2-year,Private for-profit,Associates--Private For-profit,www.ict.edu
138682,Albany,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.albanytech.edu
138691,Albany,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.darton.edu
138716,Albany,Georgia,4-year,Public,Masters Colleges and Universities--medium programs,www.asurams.edu
138761,Cuthbert,Georgia,2-year,Private not-for-profit,Associates--Private Not-for-profit,www.andrewcollege.edu
138789,Savannah,Georgia,4-year,Public,Masters Colleges and Universities--larger programs,www.armstrong.edu
138813,Atlanta,Georgia,4-year,Private for-profit,Schools of art- music- and design,www.artinstitutes.eduatlanta
138840,Atlanta,Georgia,2-year,Public,Associates--Public Urban-serving Single Campus,www.atlantatech.edu
138868,West Point,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.point.edu
138901,Atlanta,Georgia,4-year,Public,Associates--Public Urban-serving Single Campus,www.atlm.edu
138947,Atlanta,Georgia,4-year,Private not-for-profit,Doctoral/Research Universities,www.cau.edu
138956,Augusta,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.augustatech.edu
139010,Bainbridge,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.bainbridge.edu
139074,Atlanta,Georgia,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.bauder.edu
139144,Mount Berry,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.berry.edu
139153,Atlanta,Georgia,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.beulah.edu
139199,Gainesville,Georgia,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.brenau.edu
139205,Mount Vernon,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.bpc.edu
139214,Atlanta,Georgia,2-year,Private for-profit,Associates--Private For-profit,www.bccr.edu
139250,Brunswick,Georgia,4-year,Public,Associates--Public Rural-serving Medium,www.ccga.edu
139278,Waco,Georgia,2-year,Public,Associates--Public Suburban-serving Single Campus,www.westgatech.edu
139287,Atlanta,Georgia,4-year,Private not-for-profit,Not applicable- not in Carnegie universe,www.carver.edu
139311,Morrow,Georgia,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.clayton.edu
139357,Columbus,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.columbustech.edu
139366,Columbus,Georgia,4-year,Public,Masters Colleges and Universities--larger programs,www.columbusstate.edu
139384,Rome,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.gntc.edu
139393,Lookout Mountain,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.covenant.edu
139463,Dalton,Georgia,4-year,Public,Baccalaureate/Associates Colleges,www.daltonstate.edu
139579,Savannah,Georgia,4-year,Private for-profit,Masters Colleges and Universities--larger programs,www.southuniversity.edu
139621,Swainsboro,Georgia,4-year,Public,Associates--Public Rural-serving Small,www.ega.edu
139630,Franklin Springs,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.ec.edu
139658,Atlanta,Georgia,4-year,Private not-for-profit,Research Universities--very high research activity,www.emory.edu
139700,Rome,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.highlands.edu
139719,Fort Valley,Georgia,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.fvsu.edu
139755,Atlanta,Georgia,4-year,Public,Research Universities--very high research activity,www.gatech.edu
139764,Americus,Georgia,4-year,Public,Masters Colleges and Universities--smaller programs,gsw.edumain
139861,Milledgeville,Georgia,4-year,Public,Masters Colleges and Universities--larger programs,www.gcsu.edu
139904,Milledgeville,Georgia,2-year,Public,Associates--Public Special Use,www.gmc.cc.ga.us
139931,Statesboro,Georgia,4-year,Public,Doctoral/Research Universities,www.georgiasouthern.edu
139940,Atlanta,Georgia,4-year,Public,Research Universities--very high research activity,www.gsu.edu
139959,Athens,Georgia,4-year,Public,Research Universities--very high research activity,www.uga.edu
139968,Barnesville,Georgia,4-year,Public,Associates--Public 4-year Primarily Associates,www.gordonstate.edu
139986,Griffin,Georgia,2-year,Public,Associates--Public Suburban-serving Multicampus,www.sctech.edu
139995,Decatur,Georgia,2-year,Private not-for-profit,Associates--Private Not-for-profit,www.gupton-jones.edu
140003,Lilburn,Georgia,2-year,Private for-profit,Associates--Private For-profit,www.gwinnettcollege.edu
140012,Lawrenceville,Georgia,2-year,Public,Associates--Public Suburban-serving Single Campus,www.gwinnetttech.edu
140164,Kennesaw,Georgia,4-year,Public,Masters Colleges and Universities--larger programs,www.kennesaw.edu
140234,Lagrange,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.lagrange.edu
140243,Oakwood,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.laniertech.edu
140252,Marietta,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.life.edu
140331,Marietta,Georgia,2-year,Public,Associates--Public Suburban-serving Single Campus,www.chattahoocheetech.edu
140340,Atlanta,Georgia,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.herzing.edu
140447,Macon,Georgia,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.mercer.edu
140553,Atlanta,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.morehouse.edu
140599,Moultrie,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.moultrietech.edu
140678,Clarkesville,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.northgatech.edu
140696,Atlanta,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.oglethorpe.edu
140720,Augusta,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.paine.edu
140818,Demorest,Georgia,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.piedmont.edu
140872,Waleska,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.reinhardt.edu
140942,Savannah,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.savannahtech.edu
140951,Savannah,Georgia,4-year,Private not-for-profit,Schools of art- music- and design,www.scad.edu
140960,Savannah,Georgia,4-year,Public,Baccalaureate Colleges--Arts & Sciences,www.savannahstate.edu
140988,Rome,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.shorter.edu
141006,Americus,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.southgatech.edu
141060,Atlanta,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.spelman.edu
141097,Marietta,Georgia,4-year,Public,Masters Colleges and Universities--medium programs,www.spsu.edu
141158,Thomasville,Georgia,2-year,Public,Associates--Public Rural-serving Small,www.southwestgatech.edu
141167,Thomasville,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.thomasu.edu
141185,Toccoa Falls,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.tfc.edu
141237,Cleveland,Georgia,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,www.truett.edu
141255,Valdosta,Georgia,2-year,Public,Associates--Public Rural-serving Medium,www.wiregrass.edu
141264,Valdosta,Georgia,4-year,Public,Masters Colleges and Universities--larger programs,www.valdosta.edu
141325,Macon,Georgia,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.wesleyancollege.edu
141334,Carrollton,Georgia,4-year,Public,Masters Colleges and Universities--larger programs,www.westga.edu
141361,Young Harris,Georgia,4-year,Private not-for-profit,Associates--Private Not-for-profit,www.yhc.edu
141468,Honolulu,Hawaii,2-year,Private for-profit,Associates--Private For-profit,www.heald.edulocationshonolulu
141486,Honolulu,Hawaii,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.chaminade.edu
141565,Hilo,Hawaii,4-year,Public,Baccalaureate Colleges--Arts & Sciences,hilo.hawaii.edu
141574,Honolulu,Hawaii,4-year,Public,Research Universities--very high research activity,manoa.hawaii.edu
141644,Honolulu,Hawaii,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.hpu.edu
141680,Honolulu,Hawaii,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www2.honolulu.hawaii.edu
141796,Honolulu,Hawaii,2-year,Public,Associates--Public 2-year colleges under 4-year universities,kapiolani.hawaii.edupagehome
141802,Lihue,Hawaii,2-year,Public,Associates--Public 2-year colleges under 4-year universities,kauai.hawaii.edu
141811,Pearl City,Hawaii,2-year,Public,Associates--Public 2-year colleges under 4-year universities,www.leeward.hawaii.edu
141839,Kahului,Hawaii,4-year,Public,Associates--Public 4-year Primarily Associates,maui.hawaii.edu
141981,Kapolei,Hawaii,4-year,Public,Baccalaureate Colleges--Diverse Fields,westoahu.hawaii.edu
141990,Kaneohe,Hawaii,2-year,Public,Associates--Public 2-year colleges under 4-year universities,windward.hawaii.edu
142054,Boise,Idaho,2-year,Private for-profit,Associates--Private For-profit,www.carrington.edu
142090,Boise,Idaho,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.boisebible.edu
142115,Boise,Idaho,4-year,Public,Masters Colleges and Universities--larger programs,www.boisestate.edu
142179,Idaho Falls,Idaho,2-year,Public,Associates--Public Rural-serving Small,www.eitc.edu
142276,Pocatello,Idaho,4-year,Public,Research Universities--high research activity,www.isu.edu
142285,Moscow,Idaho,4-year,Public,Research Universities--high research activity,www.uidaho.edu
142294,Caldwell,Idaho,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.collegeofidaho.edu
142328,Lewiston,Idaho,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.lcsc.edu
142337,Boise,Idaho,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
142443,Coeur d'Alene,Idaho,2-year,Public,Associates--Public Rural-serving Medium,www.nic.edu
142461,Nampa,Idaho,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.nnu.edu
142522,Rexburg,Idaho,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.byui.edu
142559,Twin Falls,Idaho,2-year,Public,Associates--Public Rural-serving Large,www.csi.edu
142887,Chicago,Illinois,4-year,Private for-profit,Schools of art- music- and design,www.aaart.edu
143048,Chicago,Illinois,4-year,Private not-for-profit,Schools of art- music- and design,www.saic.edu
143084,Rock Island,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.augustana.edu
143118,Aurora,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.aurora.edu
143215,Belleville,Illinois,2-year,Public,Associates--Public Suburban-serving Multicampus,www.swic.edu
143279,Moline,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.bhc.edu
143288,Carlinville,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.blackburn.edu
143358,Peoria,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.bradley.edu
143613,Galesburg,Illinois,2-year,Public,Associates--Public Rural-serving Medium,www.sandburg.edu
144005,Chicago,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,www.csu.edu
144050,Chicago,Illinois,4-year,Private not-for-profit,Research Universities--very high research activity,www.uchicago.edu
144157,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,www.ccc.educollegeskennedypagesdefault.aspx
144166,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,www.ccc.educollegesmalcolm-xpagesdefault.aspx
144175,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,ccc.educollegesolive-harveypagesdefault.aspx
144184,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,ccc.educollegestrumanpagesdefault.aspx
144193,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,ccc.educollegesdaleypagesdefault.aspx
144209,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,www.ccc.educollegeswashingtonpagesdefault.aspx
144218,Chicago,Illinois,2-year,Public,Associates--Public Urban-serving Multicampus,ccc.educollegeswrightpagesdefault.aspx
144281,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.colum.edu
144351,River Forest,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.cuchicago.edu
144467,Chicago,Illinois,2-year,Private for-profit,Associates--Private For-profit,www.chefs.educhicago
144485,Chicago,Illinois,2-year,Private for-profit,Associates--Private For-profit,www.coynecollege.edu
144564,Danville,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.dacc.edu
144740,Chicago,Illinois,4-year,Private not-for-profit,Doctoral/Research Universities,www.depaul.edu
144865,Glen Ellyn,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.cod.edu
144883,Chicago,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.eastwest.edu
144892,Charleston,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,www.eiu.edu
144944,Elgin,Illinois,2-year,Public,Associates--Public Suburban-serving Multicampus,www.elgin.edu
144962,Elmhurst,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,public.elmhurst.edu
144971,Eureka,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.eureka.edu
145239,Bedford Park,Illinois,2-year,Private for-profit,Associates--Private For-profit,www.foxcollege.edu
145372,Greenville,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.greenville.edu
145460,Chicago,Illinois,4-year,Private for-profit,Schools of art- music- and design,www.harrington.edu
145497,Skokie,Illinois,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.htc.edu
145521,Freeport,Illinois,2-year,Public,Associates--Public Rural-serving Medium,www.highland.edu
145600,Chicago,Illinois,4-year,Public,Research Universities--very high research activity,www.uic.eduindex.html
145619,Lisle,Illinois,4-year,Private not-for-profit,Doctoral/Research Universities,www.ben.edu
145637,Champaign,Illinois,4-year,Public,Research Universities--very high research activity,www.illinois.edu
145646,Bloomington,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.iwu.edu
145682,East Peoria,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.icc.edu
145691,Jacksonville,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.ic.edu
145707,Olney,Illinois,2-year,Public,Associates--Public Rural-serving Medium,www.iecc.eduocc
145725,Chicago,Illinois,4-year,Private not-for-profit,Research Universities--high research activity,www.iit.edu
145770,Chicago,Illinois,4-year,Private for-profit,Doctoral/Research Universities,www.argosy.educhicago
145813,Normal,Illinois,4-year,Public,Doctoral/Research Universities,illinoisstate.edu
145831,Oglesby,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.ivcc.edu
146010,Chicago,Illinois,4-year,Private for-profit,Schools of art- music- and design,www.iadtchicago.edu
146205,Carterville,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.jalc.edu
146278,Quincy,Illinois,2-year,Public,Associates--Public Rural-serving Medium,www.jwcc.edu
146296,Joliet,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.jjc.edu
146339,Elgin,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.judsonu.edu
146348,Kankakee,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.kcc.edu
146366,Centralia,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.kaskaskia.edu
146393,Chicago,Illinois,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,www.kendall.edu
146418,Malta,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.kishwaukeecollege.edu
146427,Galesburg,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.knox.edu
146472,Grayslake,Illinois,2-year,Public,Associates--Public Suburban-serving Multicampus,www.clcillinois.edu
146481,Lake Forest,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.lakeforest.edu
146506,Mattoon,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.lakeland.cc.il.us
146603,Godfrey,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.lc.edu
146612,Romeoville,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.lewisu.edu
146667,Lincoln,Illinois,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.lincolnchristian.edu
146676,Lincoln,Illinois,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,lincolncollege.edu
146685,Springfield,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.llcc.edu
146700,Melrose Park,Illinois,2-year,Private for-profit,Associates--Private For-profit,www.lincolnedu.com
146719,Chicago,Illinois,4-year,Private not-for-profit,Research Universities--high research activity,www.luc.edu
146755,Rock Island,Illinois,4-year,Private not-for-profit,Other health professions schools,www.trinitycollegeqc.edu
146816,Chicago,Illinois,2-year,Private not-for-profit,Associates--Private Not-for-profit,www.maccormac.edu
146825,Jacksonville,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.mac.edu
147004,Crystal Lake,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.mchenry.edu
147013,Lebanon,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.mckendree.eduprospectiveadmissionsindex.aspx
147129,Peoria,Illinois,4-year,Private not-for-profit,Other health professions schools,www.methodistcol.edu
147165,Peoria,Illinois,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.midstate.edu
147244,Decatur,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.millikin.edu
147341,Monmouth,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.monmouthcollege.edu
147369,Chicago,Illinois,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,www.moody.edu
147378,Palos Hills,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.morainevalley.edu
147396,Morrison,Illinois,2-year,Private not-for-profit,Associates--Private Not-for-profit,www.morrisontech.edu
147411,Cicero,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.morton.edu
147536,Chicago,Illinois,4-year,Private not-for-profit,Doctoral/Research Universities,www.nl.edu
147660,Naperville,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,northcentralcollege.edu
147679,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.northpark.edu
147703,Dekalb,Illinois,4-year,Public,Research Universities--high research activity,www.niu.edu
147749,Chicago,Illinois,2-year,Private for-profit,Associates--Private For-profit,www.northwesterncollege.edu
147767,Evanston,Illinois,4-year,Private not-for-profit,Research Universities--very high research activity,www.northwestern.edu
147776,Chicago,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,www.neiu.edu
147800,Des Plaines,Illinois,2-year,Public,Associates--Public Suburban-serving Multicampus,www.oakton.edu
147828,Bourbonnais,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.olivet.edu
147916,Champaign,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.parkland.edu
148007,Chicago Heights,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.prairiestate.edu
148131,Quincy,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.quincy.edu
148140,Quincy,Illinois,2-year,Private for-profit,Associates--Private For-profit,www.vatterott.edu
148177,Chicago,Illinois,4-year,Private for-profit,Schools of art- music- and design,www.aii.edu
148256,Ina,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.rlc.edu
148292,Decatur,Illinois,2-year,Public,Associates--Public Rural-serving Medium,www.richland.edu
148335,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.robertmorris.edu
148380,Rockford,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.rockvalleycollege.edu
148399,Rockford,Illinois,2-year,Private for-profit,Associates--Private For-profit,www.rockfordcareercollege.edu
148405,Rockford,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.rockford.edu
148487,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.roosevelt.edu
148496,River Forest,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,public.dom.edu
148584,Joliet,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.stfrancis.edu
148627,Chicago,Illinois,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.sxu.edu
148654,Springfield,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,www.uis.edu
148672,Dixon,Illinois,2-year,Public,Associates--Public Rural-serving Medium,www.svcc.edu
148821,Ullin,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.shawneecc.edu
148849,Chicago,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.shimer.edu
148876,Chicago,Illinois,4-year,Private not-for-profit,Associates--Private Not-for-profit 4-year Primarily Associates,www.staugustine.edu
148937,Harrisburg,Illinois,2-year,Public,Associates--Public Rural-serving Large,www.sic.edu
148991,Canton,Illinois,2-year,Public,Associates--Public Rural-serving Medium,www.src.edu
149222,Carbondale,Illinois,4-year,Public,Research Universities--high research activity,www.siu.edu
149231,Edwardsville,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,www.siue.edu
149310,Chicago,Illinois,2-year,Private for-profit,Associates--Private For-profit,www.tbiil.edu
149365,South Holland,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.ssc.edu
149505,Palos Heights,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.trnty.edu
149514,Deerfield,Illinois,4-year,Private not-for-profit,Doctoral/Research Universities,www.tiu.edu
149532,River Grove,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.triton.edu
149639,Chicago,Illinois,4-year,Private not-for-profit,Schools of art- music- and design,www.vandercook.edu
149727,Sugar Grove,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.waubonsee.edu
149772,Macomb,Illinois,4-year,Public,Masters Colleges and Universities--larger programs,www.wiu.edu
149781,Wheaton,Illinois,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.wheaton.edu
149842,Palatine,Illinois,2-year,Public,Associates--Public Suburban-serving Single Campus,www.harpercollege.edu
150048,Donaldson,Indiana,2-year,Private not-for-profit,Associates--Private Not-for-profit,www.ancilla.edu
150066,Anderson,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,www.anderson.edu
150136,Muncie,Indiana,4-year,Public,Research Universities--high research activity,www.bsu.edu
150145,Mishawaka,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.bethelcollege.edu
150163,Indianapolis,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,www.butler.edu
150172,Whiting,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.ccsj.edu
150251,Hobart,Indiana,2-year,Private for-profit,Associates--Private For-profit,www.ccr.edu
150400,Greencastle,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.depauw.edu
150455,Richmond,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.earlham.edu
150534,Evansville,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,www.evansville.edu
150604,Franklin,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.franklincollege.edu
150668,Goshen,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.goshen.edu
150677,Winona Lake,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.grace.edu
150756,Hanover,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.hanover.edu
150774,Notre Dame,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.hcc-nd.edu
150941,Huntington,Indiana,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.huntington.edu
150987,Indianapolis,Indiana,2-year,Public,Associates--Public Urban-serving Single Campus,www.ivytech.edu
151102,Fort Wayne,Indiana,4-year,Public,Masters Colleges and Universities--larger programs,www.ipfw.edu
151111,Indianapolis,Indiana,4-year,Public,Research Universities--high research activity,www.iupui.edu
151166,Indianapolis,Indiana,4-year,Private for-profit,Baccalaureate/Associates Colleges,harrison.edu
151263,Indianapolis,Indiana,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,uindy.edu
151290,Fort Wayne,Indiana,4-year,Private not-for-profit,Schools of business and management,www.indianatech.edu
151306,Evansville,Indiana,4-year,Public,Masters Colleges and Universities--larger programs,www.usi.edu
151324,Terre Haute,Indiana,4-year,Public,Doctoral/Research Universities,www.indstate.edu
151333,Kokomo,Indiana,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.iuk.edu
151342,South Bend,Indiana,4-year,Public,Masters Colleges and Universities--medium programs,iusb.edu
151351,Bloomington,Indiana,4-year,Public,Research Universities--very high research activity,www.iub.edu
151360,Gary,Indiana,4-year,Public,Masters Colleges and Universities--medium programs,www.iun.edu
151379,New Albany,Indiana,4-year,Public,Masters Colleges and Universities--larger programs,ius.edu
151388,Richmond,Indiana,4-year,Public,Baccalaureate Colleges--Diverse Fields,www.iue.edu
151458,Fort Wayne,Indiana,4-year,Private for-profit,Baccalaureate/Associates Colleges,www.ibcfortwayne.edu
151467,Indianapolis,Indiana,2-year,Private for-profit,Associates--Private For-profit,www.ibcindianapolis.edu
151494,Nashville,Tennessee,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
151500,Fort Wayne,Indiana,4-year,Private for-profit,Other technology-related schools,www.itt-tech.edu
151519,Indianapolis,Indiana,4-year,Private for-profit,Masters Colleges and Universities--smaller programs,www.itt-tech.edu
151616,Merrillville,Indiana,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,www.brownmackie.edu
