university_id,state,student count,awards_per_value,awards_per_state_value,fte_value
150677,Indiana,1615,27.5,23.8,1429
150756,Indiana,1163,19.5,23.8,1131
150774,Indiana,524,16.1,23.8,441
150941,Indiana,1053,22,23.8,1101
150987,Indiana,98778,17.1,17.1,71493
151102,Indiana,12928,16.7,20.4,9684
151111,Indiana,22409,22.8,20.4,18906
151166,Indiana,3726,23.7,26.7,4244
151263,Indiana,4162,19.6,23.8,3801
151290,Indiana,5717,21.3,23.8,3993
151306,Indiana,8913,18.1,20.4,8925
151324,Indiana,10268,16.4,20.4,9490
151333,Indiana,3981,19.8,20.4,2378
151342,Indiana,7512,15.7,20.4,5191
151351,Indiana,36862,23.1,20.4,32087
151360,Indiana,5904,15.7,20.4,4034
151379,Indiana,6148,18.9,20.4,4669
151388,Indiana,4326,18,20.4,2754
151458,Indiana,406,57.2,26.7,432
151467,Indiana,399,46.6,40.4,385
151494,Tennessee,525,38.5,22.4,557
151500,Indiana,283,39,26.7,332
151519,Indiana,4296,19.1,26.7,4652
151616,Indiana,619,38.7,26.7,590
151625,Indiana,290,34.6,26.7,324
151661,Indiana,1240,52.2,40.4,1245
151777,Indiana,1199,17.3,23.8,1334
151786,Indiana,2203,22.1,23.8,2210
151801,Indiana,10766,34.9,23.8,9898
151810,Indiana,452,10.5,23.8,395
151944,Indiana,423,42.4,26.7,539
152080,Indiana,8477,23.5,23.8,9280
152099,Indiana,2311,22.9,23.8,1214
152248,Indiana,8390,18.2,20.4,6568
152266,Indiana,6054,16,20.4,3629
152318,Indiana,2205,20.5,23.8,2058
152336,Indiana,1980,23.6,23.8,1762
152363,Indiana,1141,19.4,23.8,1130
152381,Indiana,649,23.8,23.8,615
152390,Indiana,1479,24.8,23.8,1539
152415,Indiana,366,32.7,40.4,664
152530,Indiana,2146,19.1,23.8,2185
152567,Indiana,1874,16.5,23.8,1710
152600,Indiana,3251,21.4,23.8,3071
152637,Indiana,18383,16,20.4,9876
152673,Indiana,902,19.8,23.8,911
152798,Iowa,398,45,25,366
152822,Iowa,1019,32.8,25,1121
152992,Iowa,1042,21.2,25,939
153001,Iowa,2293,29.7,25,2450
153108,Iowa,1386,21.2,25,1512
153126,Iowa,1011,24.7,25,896
153144,Iowa,1419,19,25,1502
153162,Iowa,1125,20.2,25,1276
153214,Iowa,20167,16.5,21.1,15337
153241,Iowa,90,7.6,25,99
153250,Iowa,1376,21,25,1432
153269,Iowa,3383,25,25,3035
153278,Iowa,1694,20.3,25,1641
153296,Iowa,1034,24.7,21.1,848
153302,Iowa,187,45.2,25,205
153311,Iowa,8694,17.9,21.1,5507
153320,Iowa,229,25.6,25,266
153366,Iowa,1559,26.2,25,1350
153375,Iowa,2096,23.9,25,1934
153384,Iowa,1721,23.4,25,1635
153409,Iowa,205,23.3,17.3,399
153418,Iowa,483,25.5,17.3,988
153427,Iowa,177,41.6,17.3,436
153445,Iowa,5809,16.1,21.1,7160
153472,Iowa,4604,32.1,21.1,4034
153524,Iowa,5697,21.2,21.1,4682
153533,Iowa,2574,25.7,21.1,2311
153603,Iowa,27659,20.1,21.2,25405
153621,Iowa,599,26.7,25,595
153630,Iowa,6861,16.8,21.1,5344
153658,Iowa,21974,21.7,21.2,20279
153737,Iowa,15076,21.8,21.1,11503
153825,Iowa,1554,20.7,25,1534
153834,Iowa,2466,20.6,25,2700
153861,Iowa,319,15,25,432
