universityid,level,institution_type,specific_college_type
433660,4-year,Public,Masters Colleges and Universities--larger programs
434016,2-year,Private not-for-profit,Tribal Colleges
434034,4-year,Private not-for-profit,Schools of business and management
434052,4-year,Private for-profit,Associates--Private For-profit
434061,2-year,Public,Associates--Public Rural-serving Medium
434140,2-year,Private for-profit,Associates--Private For-profit
434159,2-year,Private for-profit,Associates--Private For-profit
434414,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
434539,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
434548,4-year,Private for-profit,Other technology-related schools
434557,4-year,Private for-profit,Other technology-related schools
434566,2-year,Private for-profit,Associates--Private For-profit
434575,2-year,Private for-profit,Associates--Private For-profit
434584,2-year,Public,Tribal Colleges
434672,2-year,Public,Associates--Public Suburban-serving Multicampus
434690,2-year,Private for-profit,Associates--Private For-profit
434751,2-year,Private not-for-profit,Tribal Colleges
434821,2-year,Private for-profit,Associates--Private For-profit
434946,4-year,Private for-profit,Masters Colleges and Universities--larger programs
434955,4-year,Private for-profit,Masters Colleges and Universities--larger programs
434964,4-year,Private for-profit,Masters Colleges and Universities--medium programs
434973,4-year,Private for-profit,Schools of business and management
434982,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
434991,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
436094,4-year,Private for-profit,Other health professions schools
436182,2-year,Private for-profit,Associates--Private For-profit
436191,4-year,Private for-profit,Baccalaureate/Associates Colleges
436225,2-year,Private for-profit,Associates--Private For-profit
436304,2-year,Public,Associates--Public Suburban-serving Single Campus
436429,4-year,Private for-profit,Associates--Private For-profit
436438,4-year,Private for-profit,Doctoral/Research Universities
436483,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
436702,4-year,Private for-profit,Associates--Private For-profit
437042,4-year,Private for-profit,Other technology-related schools
437051,4-year,Private for-profit,Other technology-related schools
437060,2-year,Private for-profit,Associates--Private For-profit
437097,4-year,Private for-profit,Not applicable- not in Carnegie universe
437103,2-year,Public,Associates--Public Urban-serving Single Campus
437219,4-year,Private for-profit,Other technology-related schools
437732,2-year,Private for-profit,Not applicable- not in Carnegie universe
437750,2-year,Private for-profit,Associates--Private For-profit
437769,2-year,Private for-profit,Associates--Private For-profit
437848,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
437936,2-year,Private for-profit,Associates--Private For-profit
438151,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
438179,4-year,Private for-profit,Associates--Private For-profit
438212,2-year,Private for-profit,Associates--Private For-profit
438258,2-year,Private for-profit,Associates--Private For-profit
438285,2-year,Private for-profit,Associates--Private For-profit
438294,2-year,Private for-profit,Associates--Private For-profit
438382,4-year,Private for-profit,Masters Colleges and Universities--medium programs
438416,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
438498,4-year,Private for-profit,Masters Colleges and Universities--larger programs
438586,4-year,Private for-profit,Masters Colleges and Universities--medium programs
438601,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
438610,4-year,Private for-profit,Schools of business and management
438629,4-year,Private for-profit,Schools of business and management
438647,2-year,Private for-profit,Associates--Private For-profit
438708,2-year,Public,Associates--Public Rural-serving Small
438869,2-year,Private not-for-profit,Associates--Private For-profit
438902,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
439057,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
