universityid,level,institution_type,specific_college_type
131450,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
131469,4-year,Private not-for-profit,Research Universities--very high research activity
131496,4-year,Private not-for-profit,Research Universities--very high research activity
131520,4-year,Private not-for-profit,Research Universities--high research activity
131742,2-year,Private for-profit,Associates--Private For-profit
131803,4-year,Private for-profit,Masters Colleges and Universities--larger programs
131876,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
132338,4-year,Private for-profit,Schools of art- music- and design
132408,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
132471,4-year,Private not-for-profit,Doctoral/Research Universities
132602,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
132657,4-year,Private not-for-profit,Doctoral/Research Universities
132693,4-year,Public,Associates--Public Rural-serving Large
132709,4-year,Public,Associates--Public Urban-serving Multicampus
132806,2-year,Private for-profit,Associates--Private For-profit
132842,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
132851,4-year,Public,Associates--Public Rural-serving Large
132879,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
132903,4-year,Public,Research Universities--very high research activity
133021,4-year,Public,Associates--Public 4-year Primarily Associates
133085,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
133386,4-year,Public,Associates--Public 4-year Primarily Associates
133465,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
133492,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
133508,4-year,Public,Associates--Public 4-year Primarily Associates
133526,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
133553,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
133650,4-year,Public,Doctoral/Research Universities
133669,4-year,Public,Research Universities--high research activity
133702,4-year,Public,Associates--Public 4-year Primarily Associates
133711,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
133809,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
133845,2-year,Private for-profit,Associates--Private For-profit
133854,2-year,Private for-profit,Not applicable- not in Carnegie universe
133863,2-year,Private for-profit,Not applicable- not in Carnegie universe
133872,4-year,Private not-for-profit,Other health professions schools
133881,4-year,Private not-for-profit,Doctoral/Research Universities
133951,4-year,Public,Research Universities--high research activity
133960,2-year,Public,Associates--Public Rural-serving Small
133979,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
133997,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
134079,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
134097,4-year,Public,Research Universities--very high research activity
134112,4-year,Private for-profit,Associates--Private For-profit
134121,4-year,Private for-profit,Associates--Private For-profit
134130,4-year,Public,Research Universities--very high research activity
134149,4-year,Private for-profit,Masters Colleges and Universities--smaller programs
134237,4-year,Private for-profit,Masters Colleges and Universities--larger programs
134343,4-year,Public,Associates--Public Rural-serving Large
134495,2-year,Public,Associates--Public Urban-serving Multicampus
134510,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
134608,4-year,Public,Associates--Public 4-year Primarily Associates
134680,4-year,Private for-profit,Schools of art- music- and design
134811,4-year,Private for-profit,Schools of art- music- and design
134909,4-year,Private for-profit,Other technology-related schools
134945,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
135063,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
135081,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
135124,2-year,Private for-profit,Associates--Private For-profit
135160,4-year,Public,Associates--Public Rural-serving Medium
135188,4-year,Public,Associates--Public Suburban-serving Multicampus
135364,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
135391,4-year,Public,Associates--Public Urban-serving Multicampus
135717,4-year,Public,Associates--Public 4-year Primarily Associates
135726,4-year,Private not-for-profit,Research Universities--very high research activity
135939,4-year,Private not-for-profit,Baccalaureate/Associates Colleges
135957,2-year,Private for-profit,Associates--Private For-profit
136066,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates
136145,2-year,Public,Associates--Public Rural-serving Small
136172,4-year,Public,Masters Colleges and Universities--larger programs
136206,4-year,Private not-for-profit,Schools of business and management
136215,4-year,Private not-for-profit,Research Universities--high research activity
136233,4-year,Public,Associates--Public 4-year Primarily Associates
136288,4-year,Private for-profit,Baccalaureate/Associates Colleges
136330,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
136358,4-year,Public,Associates--Public Suburban-serving Multicampus
136400,2-year,Public,Associates--Public Suburban-serving Multicampus
136473,4-year,Public,Associates--Public Rural-serving Large
136516,4-year,Public,Associates--Public Rural-serving Large
136774,4-year,Private not-for-profit,Schools of art- music- and design
136950,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
137032,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
137078,4-year,Public,Baccalaureate/Associates Colleges
137096,4-year,Public,Associates--Public Rural-serving Large
137148,4-year,Private for-profit,Doctoral/Research Universities
137209,4-year,Public,Associates--Public Suburban-serving Single Campus
137281,4-year,Public,Associates--Public Rural-serving Large
137315,4-year,Public,Associates--Public Rural-serving Medium
137351,4-year,Public,Research Universities--very high research activity
137476,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
137546,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
137564,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
137759,2-year,Public,Associates--Public Rural-serving Large
137801,4-year,Private for-profit,Baccalaureate/Associates Colleges
137810,4-year,Private for-profit,Baccalaureate/Associates Colleges
137847,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
137953,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
137962,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
138187,4-year,Public,Associates--Public Urban-serving Multicampus
138275,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
138293,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
138309,4-year,Private for-profit,Baccalaureate/Associates Colleges
138354,4-year,Public,Doctoral/Research Universities
138558,4-year,Public,Associates--Public 4-year Primarily Associates
138600,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
138655,2-year,Private for-profit,Associates--Private For-profit
138682,2-year,Public,Associates--Public Rural-serving Medium
138691,2-year,Public,Associates--Public Rural-serving Medium
138716,4-year,Public,Masters Colleges and Universities--medium programs
138761,2-year,Private not-for-profit,Associates--Private Not-for-profit
138789,4-year,Public,Masters Colleges and Universities--larger programs
138813,4-year,Private for-profit,Schools of art- music- and design
138840,2-year,Public,Associates--Public Urban-serving Single Campus
138868,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
138901,4-year,Public,Associates--Public Urban-serving Single Campus
138947,4-year,Private not-for-profit,Doctoral/Research Universities
138956,2-year,Public,Associates--Public Rural-serving Medium
139010,2-year,Public,Associates--Public Rural-serving Medium
139074,4-year,Private for-profit,Baccalaureate/Associates Colleges
139144,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
139153,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
139199,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs
139205,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
139214,2-year,Private for-profit,Associates--Private For-profit
139250,4-year,Public,Associates--Public Rural-serving Medium
139278,2-year,Public,Associates--Public Suburban-serving Single Campus
139287,4-year,Private not-for-profit,Not applicable- not in Carnegie universe
139311,4-year,Public,Baccalaureate Colleges--Diverse Fields
139357,2-year,Public,Associates--Public Rural-serving Medium
139366,4-year,Public,Masters Colleges and Universities--larger programs
139384,2-year,Public,Associates--Public Rural-serving Medium
139393,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
139463,4-year,Public,Baccalaureate/Associates Colleges
139579,4-year,Private for-profit,Masters Colleges and Universities--larger programs
